publishedAt,title,title_cleaned,content,content_cleaned,url,sentiment_score,entities
2025-07-08T00:00:00Z,Eric Trump’s American Bitcoin Raises $220 Million in Private Stock Sale To Buy More BTC,eric trumps american bitcoin raises million in private stock sale to buy more btc,"The Hut 8 sold over 11 million shares to investors, securing $215 million in net proceeds to expand its Bitcoin holdings and mining operations. Hut 8 Corp. filed with the SEC that its majority-owned subsidiary, American Bitcoin Corp., has raised $220 million …",the hut sold over million shares to investors securing million in net proceeds to expand its bitcoin holdings and mining operations hut corp filed with the sec that its majorityowned subsidiary american bitcoin corp has raised million,https://www.activistpost.com/eric-trumps-american-bitcoin-raises-220-million-in-private-stock-sale-to-buy-more-btc/,0.7003,"[('over million', 'CARDINAL'), ('million', 'CARDINAL'), ('sec', 'ORG'), ('american bitcoin corp has', 'ORG'), ('million', 'CARDINAL')]"
2025-07-07T23:30:27Z,Bitcoin Heating Up? NVT Golden Cross Hints At Potential Local Top,bitcoin heating up nvt golden cross hints at potential local top,"Bitcoin (BTC) is up 7% over the last two weeks, showing signs of strength despite expectations that the US Federal Reserve (Fed) will keep interest rates unchanged at its upcoming July 30 meeting. However, some indicators suggest that the market may be enteri…",bitcoin btc is up over the last two weeks showing signs of strength despite expectations that the us federal reserve fed will keep interest rates unchanged at its upcoming july meeting however some indicators suggest that the market may be enteri,http://www.newsbtc.com/bitcoin-news/bitcoin-heating-up-nvt-golden-cross-hints-at-potential-local-top/,0.7351,"[('bitcoin btc', 'PERSON'), ('the last two weeks', 'DATE'), ('the us federal reserve fed', 'ORG'), ('july', 'DATE')]"
2025-07-07T23:27:33Z,Report: Solana ETF Issuers Face Shortened Deadline From SEC,report solana etf issuers face shortened deadline from sec,"Securities regulators have reportedly sped up the timeline for financial institutions seeking to issue exchange-traded funds invested in the Solana blockchain platform. [contact-form-7] These firms have until July 31 to refile their applications, according to…",securities regulators have reportedly sped up the timeline for financial institutions seeking to issue exchangetraded funds invested in the solana blockchain platform contactform these firms have until july to refile their applications according to,http://www.pymnts.com/cryptocurrency/2025/report-solana-etf-issuers-face-shortened-deadline-from-sec/,0.296,"[('july', 'DATE')]"
2025-07-07T23:06:00Z,"MicroStrategy Incorporated d/b/a Strategy Investors: Please contact the Portnoy Law Firm to recover your losses. July 15, 2025 Deadline to file Lead Plaintiff Motion.",microstrategy incorporated dba strategy investors please contact the portnoy law firm to recover your losses july deadline to file lead plaintiff motion,"Investors can contact the law firm at no cost to learn more about recovering their losses    LOS ANGELES, July  07, 2025  (GLOBE NEWSWIRE) -- The...",investors can contact the law firm at no cost to learn more about recovering their losses los angeles july globe newswire the,https://www.globenewswire.com/news-release/2025/07/07/3111391/0/en/MicroStrategy-Incorporated-d-b-a-Strategy-Investors-Please-contact-the-Portnoy-Law-Firm-to-recover-your-losses-July-15-2025-Deadline-to-file-Lead-Plaintiff-Motion.html,-0.5994,"[('los angeles', 'GPE'), ('july', 'DATE')]"
2025-07-07T23:00:34Z,Bitcoin holds above $100K despite low volume: 2 signs point to more upside,bitcoin holds above k despite low volume signs point to more upside,The volume of BTC on Spot and Futures dropped as retail stayed quiet.,the volume of btc on spot and futures dropped as retail stayed quiet,https://ambcrypto.com/bitcoin-holds-above-100k-despite-low-volume-2-signs-point-to-more-upside/,0.0,[]
2025-07-07T23:00:30Z,"Who Moved 80,000 BTC? Bitcoin On-Chain Sleuth Drops Bombshell Exposé",who moved btc bitcoin onchain sleuth drops bombshell expos,"Bitcoin On-chain Sleuth TruthLabs has dropped his theory on who moved the 80,000 BTC ($8.72 billion). This BTC transfer had raised eyebrows and spread panic in the crypto community, considering the amount of selling pressure it could put on the flagship crypt…",bitcoin onchain sleuth truthlabs has dropped his theory on who moved the btc billion this btc transfer had raised eyebrows and spread panic in the crypto community considering the amount of selling pressure it could put on the flagship crypt,https://bitcoinist.com/who-moved-80000-bitcoin/,-0.6249,"[('bitcoin onchain', 'ORG')]"
2025-07-07T23:00:00Z,"BAY Miner Launches Flexible Cloud Mining for BTC, SOL, XRP, and DOGE Investors",bay miner launches flexible cloud mining for btc sol xrp and doge investors,"Empowering Sustainable, Hardware-Free Crypto Mining Participation Globally Empowering Sustainable, Hardware-Free Crypto Mining Participation Globally",empowering sustainable hardwarefree crypto mining participation globally empowering sustainable hardwarefree crypto mining participation globally,https://www.globenewswire.com/news-release/2025/07/07/3111388/0/en/BAY-Miner-Launches-Flexible-Cloud-Mining-for-BTC-SOL-XRP-and-DOGE-Investors.html,0.0,[]
2025-07-07T22:56:00Z,"Bitfarms Ltd. Investors: Please contact the Portnoy Law Firm to recover your losses. July 8, 2025 Deadline to file Lead Plaintiff Motion.",bitfarms ltd investors please contact the portnoy law firm to recover your losses july deadline to file lead plaintiff motion,"Investors can contact the law firm at no cost to learn more about recovering their losses    LOS ANGELES, July  07, 2025  (GLOBE NEWSWIRE) -- The...",investors can contact the law firm at no cost to learn more about recovering their losses los angeles july globe newswire the,https://www.globenewswire.com/news-release/2025/07/07/3111386/0/en/Bitfarms-Ltd-Investors-Please-contact-the-Portnoy-Law-Firm-to-recover-your-losses-July-8-2025-Deadline-to-file-Lead-Plaintiff-Motion.html,-0.5994,"[('los angeles', 'GPE'), ('july', 'DATE')]"
2025-07-07T22:30:35Z,Cloudflare’s bot paywall could ignite a tokenized content gold rush,cloudflares bot paywall could ignite a tokenized content gold rush,"The following is a guest post and opinion from Ahmad Shadid, CEO at O.XYZ. For years, a broken value exchange has defined the web. AI companies, racing to build powerful models, deployed bots to scrape a vast internet of content without permission or compensa…",the following is a guest post and opinion from ahmad shadid ceo at oxyz for years a broken value exchange has defined the web ai companies racing to build powerful models deployed bots to scrape a vast internet of content without permission or compensa,https://cryptoslate.com/cloudflares-bot-paywall-could-ignite-a-tokenized-content-gold-rush/,0.2732,"[('years', 'DATE')]"
2025-07-07T22:03:56Z,"Two Ethereum Genesis wallets wake, move $2.9M ETH",two ethereum genesis wallets wake move m eth,"Two dormant Genesis Block Ethereum wallets containing $2.9 million in ETH have reawakened, with their funds being transferred to a common third wallet.",two dormant genesis block ethereum wallets containing million in eth have reawakened with their funds being transferred to a common third wallet,https://cointelegraph.com/news/ethereum-genesis-wallets-wake-move-eth,-0.4404,"[('two', 'CARDINAL'), ('third', 'ORDINAL')]"
2025-07-07T22:03:15Z,Jack Dorsey irrumpe con Bitchat: mensajería Bluetooth sin internet,jack dorsey irrumpe con bitchat mensajera bluetooth sin internet,"Jack Dorsey sorprende al revelar Bitchat, una app beta que conecta móviles vía Bluetooth mesh para chatear sin datos ni servidores, con cifrado y espíritu …
The post Jack Dorsey irrumpe con Bitchat: mensajería Bluetooth sin internet first appeared on Geek's R…",jack dorsey sorprende al revelar bitchat una app beta que conecta mviles va bluetooth mesh para chatear sin datos ni servidores con cifrado y espritu the post jack dorsey irrumpe con bitchat mensajera bluetooth sin internet first appeared on geeks r,https://geeksroom.com/2025/07/bitchat-jack-dorsey/142043/,-0.8225,"[('jack dorsey', 'PERSON'), ('al', 'PERSON'), ('va', 'GPE'), ('jack dorsey irrumpe con', 'PERSON'), ('first', 'ORDINAL')]"
2025-07-07T22:01:38Z,"Ethereum Continues Outperforming Institutional Capital Flows As Investors Pour $1,040,000,000 Into Crypto Products: CoinShares",ethereum continues outperforming institutional capital flows as investors pour into crypto products coinshares,"Institutional digital asset investment vehicles have enjoyed over $18 billion in inflows over the last twelve weeks, according to crypto asset management firm CoinShares. In its latest Digital Asset Fund Flows Weekly Report, CoinShares finds that inflows into…",institutional digital asset investment vehicles have enjoyed over billion in inflows over the last twelve weeks according to crypto asset management firm coinshares in its latest digital asset fund flows weekly report coinshares finds that inflows into,https://dailyhodl.com/2025/07/07/ethereum-continues-outperforming-institutional-capital-flows-as-investors-pour-1040000000-into-crypto-products-coinshares/,0.8689,"[('over billion', 'CARDINAL'), ('the last twelve weeks', 'DATE'), ('weekly', 'DATE')]"
2025-07-07T22:00:31Z,Bitcoin remains stuck in $100k-$110k band as retail and whales enter potential standoff,bitcoin remains stuck in kk band as retail and whales enter potential standoff,"Bitcoin (BTC) continued to trade between $100,000 and $110,500 for a second consecutive week as smaller investors replaced whales on the buy side, Bitfinex Alpha reported on July 7. The report noted that BTC spent most of July so far within a 10% channel, cap…",bitcoin btc continued to trade between and for a second consecutive week as smaller investors replaced whales on the buy side bitfinex alpha reported on july the report noted that btc spent most of july so far within a channel cap,https://cryptoslate.com/bitcoin-remains-stuck-in-100k-110k-band-as-retail-and-whales-enter-potential-standoff/,0.0,"[('a second consecutive week', 'DATE'), ('july', 'DATE'), ('july', 'DATE')]"
2025-07-07T21:54:01Z,"Tom Lee Sees $10,000 Ethereum Price Target After Launching Bitmine Treasury Play",tom lee sees ethereum price target after launching bitmine treasury play,"After launching Bitmine as a new Ethereum treasury play, Tom Lee sees ETH hitting $10,000",after launching bitmine as a new ethereum treasury play tom lee sees eth hitting,https://www.thestreet.com/crypto/markets/tom-lee-sees-10000-ethereum-price-target-after-launching-bitmine-treasury-play,0.4939,"[('tom lee', 'PERSON')]"
2025-07-07T21:46:56Z,Real Estate Firm Murano to Build Bitcoin Treasury With $500M Equity Deal,real estate firm murano to build bitcoin treasury with m equity deal,"Murano Global Investments, a Nasdaq-listed real estate firm that owns hotels across Mexico, said it's building a bitcoin BTC treasury strategy and mulls ways to integrate the largest cryptocurrency into its operations.
The $800 million market cap company slip…",murano global investments a nasdaqlisted real estate firm that owns hotels across mexico said its building a bitcoin btc treasury strategy and mulls ways to integrate the largest cryptocurrency into its operations the million market cap company slip,https://biztoc.com/x/d9c7aff86fd76a70,0.2023,"[('mexico', 'GPE'), ('million', 'CARDINAL')]"
2025-07-07T21:43:05Z,Here are the next tailwinds for bitcoin,here are the next tailwinds for bitcoin,"Bitcoin (BTC-USD) has risen about 15% so far this year. In the video above, Swan Bitcoin chief investment officer Ben Werkman shares what he thinks will...",bitcoin btcusd has risen about so far this year in the video above swan bitcoin chief investment officer ben werkman shares what he thinks will,https://finance.yahoo.com/video/next-catalysts-bitcoin-214305109.html,0.296,"[('this year', 'DATE'), ('swan', 'NORP'), ('ben werkman', 'PERSON')]"
2025-07-07T21:41:29Z,Ethereum OG Moves $2.2 Million in 'Genesis Coins' After 10 Years HODLing,ethereum og moves million in genesis coins after years hodling,The address received the coins when ETH was worth less than 50 cents.,the address received the coins when eth was worth less than cents,https://decrypt.co/328983/ethereum-og-moves-2-2-million-in-genesis-coins-after-10-years-hodling,0.2263,"[('less than cents', 'MONEY')]"
2025-07-07T21:38:31Z,The End of the Stock Market As We Know It,the end of the stock market as we know it,"Startups and Wall Street giants alike are racing to turn stocks, bonds, and real estate into crypto-like tokens. We asked an expert to break down what that means for your money.",startups and wall street giants alike are racing to turn stocks bonds and real estate into cryptolike tokens we asked an expert to break down what that means for your money,https://gizmodo.com/the-end-of-the-stock-market-as-we-know-it-2000625351,0.0,[]
2025-07-07T21:35:44Z,"Investors ‘probably’ expected a higher valuation for Core Scientific, Bernstein says after bitcoin mining stock falls 17%",investors probably expected a higher valuation for core scientific bernstein says after bitcoin mining stock falls,CoreWeave has entered into a definitive agreement to acquire Core Scientific in an all-stock deal worth about $9 billion.,coreweave has entered into a definitive agreement to acquire core scientific in an allstock deal worth about billion,https://biztoc.com/x/5d5509de742db0a9,0.6249,"[('about billion', 'MONEY')]"
2025-07-07T21:34:40Z,Hut 8 Schedules Second Quarter 2025 Earnings Release and Conference Call,hut schedules second quarter earnings release and conference call,"MIAMI, July 07, 2025 (GLOBE NEWSWIRE) — Hut 8 Corp. (Nasdaq | TSX: HUT) (“Hut 8” or the “Company”), an energy infrastructure platform integrating power, digital infrastructure, and compute at scale to fuel next-generation, energy-intensive use cases such as B…",miami july globe newswire hut corp nasdaq tsx hut hut or the company an energy infrastructure platform integrating power digital infrastructure and compute at scale to fuel nextgeneration energyintensive use cases such as b,https://financialpost.com/globe-newswire/hut-8-schedules-second-quarter-2025-earnings-release-and-conference-call,0.2732,"[('miami', 'GPE'), ('july', 'DATE'), ('hut corp nasdaq tsx', 'ORG')]"
2025-07-07T21:30:35Z,Corporate Bitcoin Craze: 54 Companies Dump $500M Into BTC Treasuries,corporate bitcoin craze companies dump m into btc treasuries,"The appetite for Bitcoin is palpable, at least in the corporate treasury halls. More companies are joining the bandwagon. proof of the crypto’s appeal and status as a safe haven asset. In early July, corporate Bitcoin buys surged as 54 companies revealed new …",the appetite for bitcoin is palpable at least in the corporate treasury halls more companies are joining the bandwagon proof of the cryptos appeal and status as a safe haven asset in early july corporate bitcoin buys surged as companies revealed new,https://bitcoinist.com/corporate-bitcoin-craze-54-companies-dump-500m-into-btc-treasuries/,0.7351,"[('early july', 'DATE')]"
2025-07-07T21:30:00Z,Hut 8 Schedules Second Quarter 2025 Earnings Release and Conference Call,hut schedules second quarter earnings release and conference call,Hut 8 Schedules Second Quarter 2025 Earnings Release and Conference Call......,hut schedules second quarter earnings release and conference call,https://www.globenewswire.com/news-release/2025/07/07/3111369/0/en/Hut-8-Schedules-Second-Quarter-2025-Earnings-Release-and-Conference-Call.html,0.0,"[('second quarter', 'DATE')]"
2025-07-07T21:24:42Z,House Preps For Crypto Week; Core Scientific Tumbles; Bit Digital Ditches Bitcoin,house preps for crypto week core scientific tumbles bit digital ditches bitcoin,"Access to this page has been denied because we believe you are using automation tools to browse the website.
This may happen as a result of the following:
- Javascript is disabled or blocked by an extension (ad blockers for example)
- Your browser does not su…",access to this page has been denied because we believe you are using automation tools to browse the website this may happen as a result of the following javascript is disabled or blocked by an extension ad blockers for example your browser does not su,https://biztoc.com/x/fc26210c19eefb74,-0.6124,[]
2025-07-07T21:16:17Z,"Casascius bar owner gets less physical, moves BTC to wallet after 13 years",casascius bar owner gets less physical moves btc to wallet after years,A BitcoinTalk user going by the pseudonym “John Galt” spoke about their experience redeeming physical Bitcoin worth more than $10 million after years of storing it in a vault.,a bitcointalk user going by the pseudonym john galt spoke about their experience redeeming physical bitcoin worth more than million after years of storing it in a vault,https://cointelegraph.com/news/casascius-bar-hodling-100-btc,0.2263,"[('john galt', 'PERSON'), ('more than million', 'CARDINAL'), ('years', 'DATE')]"
2025-07-07T21:00:43Z,Celestia’s 26% weekly rally can continue: Will TIA surge toward $2.26?,celestias weekly rally can continue will tia surge toward,"Celestia jumps 26% in a week and 12% in the past 24 hours, ending its prolonged bearish trend.",celestia jumps in a week and in the past hours ending its prolonged bearish trend,https://ambcrypto.com/?p=508921,0.0,"[('a week', 'DATE'), ('the past hours', 'TIME')]"
2025-07-07T21:00:00Z,Bitcoin data points to rally to $120K after pro BTC traders abandon their bearish bets,bitcoin data points to rally to k after pro btc traders abandon their bearish bets,"Traders are unwinding their bearish positions as Bitcoin holds strong, fueling optimism for a potential breakout to $120,000.",traders are unwinding their bearish positions as bitcoin holds strong fueling optimism for a potential breakout to,https://cointelegraph.com/news/bitcoin-data-points-to-rally-to-120k-after-pro-btc-traders-abandon-their-bearish-bets,0.7783,[]
2025-07-07T21:00:00Z,The Future of Cryptocurrency Investing: Why Quid Miner GreenMine 2.0 Cloud Mining Is So Important,the future of cryptocurrency investing why quid miner greenmine cloud mining is so important,"Unleashing the potential of XRP, DOGE, and BTC: Quid Miner GreenMine 2.0 cloud mining changes cryptocurrency investment Unleashing the potential of XRP, DOGE, and BTC: Quid Miner GreenMine 2.0 cloud mining changes cryptocurrency investment",unleashing the potential of xrp doge and btc quid miner greenmine cloud mining changes cryptocurrency investment unleashing the potential of xrp doge and btc quid miner greenmine cloud mining changes cryptocurrency investment,https://www.globenewswire.com/news-release/2025/07/07/3111354/0/en/The-Future-of-Cryptocurrency-Investing-Why-Quid-Miner-GreenMine-2-0-Cloud-Mining-Is-So-Important.html,0.0,"[('xrp', 'GPE'), ('xrp', 'GPE')]"
2025-07-07T20:56:00Z,GreenMine 2.0 is launched: APT Miner leads the green mining revolution,greenmine is launched apt miner leads the green mining revolution,"As the price of Bitcoin approaches a record high, the crypto market has once again ignited investor enthusiasm. At the same time, APT Miner, a pioneer in green cloud mining, announced the official launch of its new generation of cloud mining system - GreenMin…",as the price of bitcoin approaches a record high the crypto market has once again ignited investor enthusiasm at the same time apt miner a pioneer in green cloud mining announced the official launch of its new generation of cloud mining system greenmin,https://www.globenewswire.com/news-release/2025/07/07/3111352/0/en/GreenMine-2-0-is-launched-APT-Miner-leads-the-green-mining-revolution.html,0.4404,[]
2025-07-07T20:48:30Z,Real Estate Firm Murano to Build Bitcoin Treasury With $500M Equity Deal,real estate firm murano to build bitcoin treasury with m equity deal,"The company, which operates hotels across Mexico, is also exploring ways to integrate BTC as a payment and loyalty rewards program for customers.",the company which operates hotels across mexico is also exploring ways to integrate btc as a payment and loyalty rewards program for customers,https://www.coindesk.com/business/2025/07/07/real-estate-firm-murano-to-build-bitcoin-treasury-with-500m-equity-deal,0.765,"[('mexico', 'GPE')]"
2025-07-07T20:32:30Z,"CleanSpark mines 685 BTC in June, scales hashrate 145% YoY",cleanspark mines btc in june scales hashrate yoy,"CleanSpark reached 50 EH/s in operational hashrate in June, increasing its total Bitcoin holdings to 12,608 BTC even with significant monthly sales.",cleanspark reached ehs in operational hashrate in june increasing its total bitcoin holdings to btc even with significant monthly sales,https://cointelegraph.com/news/cleanspark-mines-685-btc-june-scales-hashrate-145-yoy,0.296,"[('june', 'DATE'), ('monthly', 'DATE')]"
2025-07-07T20:30:38Z,Bitcoin’s Liquidity Lifeline Just Got Cut—What You Need To Know,bitcoins liquidity lifeline just got cutwhat you need to know,"The liquidity engine that has supported risk assets, including Bitcoin, since the beginning of 2025 is now shifting into reverse. According to macro analyst Tomas (@TomasOnMarkets), the six-month upswing in Federal Reserve liquidity has ended, and a potential…",the liquidity engine that has supported risk assets including bitcoin since the beginning of is now shifting into reverse according to macro analyst tomas tomasonmarkets the sixmonth upswing in federal reserve liquidity has ended and a potential,http://www.newsbtc.com/bitcoin-news/bitcoins-liquidity-lifeline-just-got-cut/,0.2263,[]
2025-07-07T20:30:33Z,Bit Digital converts entire 280 BTC reserve to $172M worth of Ethereum,bit digital converts entire btc reserve to m worth of ethereum,"Bit Digital sold 280 Bitcoin (BTC) from its treasury and used the proceeds to purchase Ethereum (ETH), marking the completion of a three-month transition to an Ethereum-only treasury strategy. According to a July 7 announcement, the New York-based miner also …",bit digital sold bitcoin btc from its treasury and used the proceeds to purchase ethereum eth marking the completion of a threemonth transition to an ethereumonly treasury strategy according to a july announcement the new yorkbased miner also,https://cryptoslate.com/bit-digital-converts-entire-280-btc-reserve-to-172m-worth-of-ethereum/,0.3818,"[('july', 'DATE')]"
2025-07-07T20:17:44Z,"I'm More Psyched For Michael B. Jordan's Thomas Crown Affair After Latest A+ Castings, But One Detail About The Plot Is Tripping Me Up",im more psyched for michael b jordans thomas crown affair after latest a castings but one detail about the plot is tripping me up,Could this be another simple frame job?,could this be another simple frame job,https://www.cinemablend.com/movies/michael-b-jordan-thomas-crown-affair-cast-danai-gurira-kenneth-branagh-lily-gladsone-one-plot-detail-tripping-me-up,0.0,[]
2025-07-07T20:00:13Z,Altcoin Season Brewing? Index At Levels That Historically Spark Massive Rallies,altcoin season brewing index at levels that historically spark massive rallies,"After being dormant for a long period, the altcoin market is flashing a bullish signal that suggests that the market might be ready for the next wave of upward action. A crypto analyst has outlined that an altcoin season this cycle seems likely, pointing to a…",after being dormant for a long period the altcoin market is flashing a bullish signal that suggests that the market might be ready for the next wave of upward action a crypto analyst has outlined that an altcoin season this cycle seems likely pointing to a,https://bitcoinist.com/altcoin-season-index-at-key-levels/,0.3612,[]
2025-07-07T19:59:53Z,CoreWeave's $9B Core Scientific acquisition is a bid for more power,coreweaves b core scientific acquisition is a bid for more power,"All the GPUs in the world aren't worth much if you don't have a place to put them
CoreWeave just added 1.3 gigawatts of datacenter capacity to its rent-a-GPU scheme with the $9 billion acquisition of crypto-mining outfit Core Scientific, the companies announc…",all the gpus in the world arent worth much if you dont have a place to put them coreweave just added gigawatts of datacenter capacity to its rentagpu scheme with the billion acquisition of cryptomining outfit core scientific the companies announc,https://www.theregister.com/2025/07/07/coreweave_core_scientific_buy/,-0.1695,"[('billion', 'CARDINAL')]"
